name,bat86,hits86,hRuns86,runs86,Runbat86
Joe_Carter,663,200,29,108,121
Jose_Canseco,600,144,33,85,117
Dave_Parker,637,174,31,89,116
Don_Mattingly,677,238,31,117,113
Jim_Rice,618,200,20,98,110
George_Bell,641,198,31,101,108
Gary_Gaetti,596,171,34,91,108
Jesse_Barfield,589,170,40,107,108
Jim_Presley,616,163,27,83,107
Gary_Carter,490,125,24,81,105
Dave_Winfield,565,148,24,90,104
Bill_Buckner,629,168,18,73,102
Glenn_Davis,574,152,31,91,101
Wally_Joyner,593,172,22,82,100
Von_Hayes,610,186,19,107,98
Dwight_Evans,529,137,26,86,97
Doug_DeCinces,512,131,26,69,96
Danny_Tartabull,511,138,25,76,96
Kevin_McReynolds,560,161,26,89,96
Kirby_Puckett,680,223,31,119,96
Brian_Downing,513,137,20,90,95
Don_Baylor,585,139,31,93,94
Dave_Kingman,561,118,35,70,94
Larry_Parrish,464,128,28,67,94
Darryl_Strawberry,475,123,27,76,93
Kent_Hrbek,550,147,29,85,91
Pete_O'Brien,551,160,23,86,90
Harold_Baines,570,169,21,72,88
Jim_Morrison,537,147,23,58,88
Pete_Incaviglia,540,135,30,82,88
Steve_Balboni,512,117,29,54,88
Bob_Horner,517,141,27,70,87
Darnell_Coles,521,142,20,67,86
Kirk_Gibson,441,118,28,84,86
Lloyd_Moseby,589,149,21,89,86
Rob_Deer,466,108,33,75,86
Candy_Maldonado,405,102,18,49,85
Darrell_Evans,507,122,29,78,85
Eddie_Murray,495,151,17,61,84
Frank_White,566,154,22,76,84
Glenn_Wilson,584,158,15,70,84
Dale_Murphy,614,163,29,89,83
Keith_Hernandez,551,171,13,94,83
Cal_Ripken,627,177,25,98,81
Steve_Garvey,557,142,21,58,81
Brook_Jacoby,583,168,17,83,80
Kevin_Bass,591,184,20,83,79
Keith_Moreland,586,159,12,72,79
Andre_Dawson,496,141,20,65,78
Johnny_Ray,579,174,7,67,78
Juan_Samuel,591,157,16,90,78
Mike_Easler,490,148,14,64,78
Mel_Hall,442,131,18,68,77
Sid_Bream,522,140,16,73,77
Ray_Knight,486,145,11,51,76
Ryne_Sandberg,627,178,14,68,76
Alan_Trammell,574,159,21,107,75
Buddy_Bell,568,158,20,89,75
Cecil_Cooper,542,140,12,46,75
Tom_Brunansky,593,152,23,69,75
Jody_Davis,528,132,21,61,74
Julio_Franco,599,183,10,80,74
Rickey_Henderson,608,160,28,130,74
George_Brett,441,128,16,70,73
Lou_Whitaker,584,157,20,95,73
Tony_Bernazard,562,169,17,88,73
Alvin_Davis,479,130,18,66,72
Carney_Lansford,591,168,19,80,72
Jose_Cruz,479,133,10,48,72
Eric_Davis,415,115,27,97,71
Mike_Pagliarulo,504,120,28,71,71
Tim_Wallach,480,112,18,50,71
Wade_Boggs,580,207,8,107,71
Chili_Davis,526,146,13,71,70
Cory_Snyder,416,113,24,58,69
Shawon_Dunston,581,145,17,66,68
Fred_Lynn,397,114,23,67,67
Andre_Thornton,401,92,17,49,66
Leon_Durham,484,127,20,66,65
Rich_Gedman,462,119,16,49,65
Tony_Fernandez,687,213,10,91,65
Ken_Phelps,344,85,24,69,64
Carlton_Fisk,457,101,14,42,63
Bob_Brenly,472,116,16,60,62
Lance_Parrish,327,84,22,53,62
Tim_Raines,580,194,9,91,62
Andy_Van_Slyke,418,113,13,48,61
Tommy_Herr,559,141,2,48,61
Bill_Madlock,379,106,10,38,60
John_Russell,315,76,13,35,60
Larry_Sheets,338,92,18,42,60
Marty_Barrett,625,179,4,94,60
Ron_Kittle,376,82,21,42,60
Willie_Upshaw,573,144,9,85,60
Tony_Gwynn,642,211,14,107,59
Terry_Pendleton,578,138,1,56,59
Denny_Walling,382,119,13,54,58
Franklin_Stubbs,420,95,23,55,58
Gary_Pettis,539,139,5,93,58
Hubie_Brooks,306,104,14,50,58
Ken_Griffey,490,150,21,69,58
Reggie_Jackson,419,101,18,65,58
Dick_Schofield,458,114,13,67,57
Roy_Smalley,459,113,20,59,57
Bo_Diaz,474,129,10,50,56
Ernie_Whitt,395,106,16,48,56
Steve_Sax,633,210,6,91,56
Graig_Nettles,354,77,16,36,55
Mike_Davis,489,131,19,77,55
Paul_Molitor,437,123,9,62,55
Ruben_Sierra,382,101,16,50,55
Greg_Gagne,472,118,12,63,54
Ozzie_Smith,514,144,0,67,54
Steve_Buechele,461,112,18,54,54
Ben_Oglivie,346,98,5,31,53
Chet_Lemon,403,101,12,45,53
Mike_Marshall,330,77,19,47,53
Greg_Brock,325,76,16,33,52
Tony_Pena,510,147,10,56,52
Tony_Phillips,441,113,5,76,52
Alfredo_Griffin,594,169,4,74,51
Brett_Butler,587,163,4,92,51
Greg_Walker,282,78,13,37,51
Gary_Ward,380,120,5,54,51
Johnny_Grubb,210,70,13,32,51
Phil_Bradley,526,163,12,88,50
Scott_Fletcher,530,159,3,82,50
Willie_Randolph,492,136,5,76,50
Chris_Brown,416,132,7,57,49
John_Shelby,404,92,11,54,49
Mitch_Webster,576,167,8,89,49
Oddibe_McDowell,572,152,18,105,49
Ron_Hassey,341,110,9,45,49
Barry_Bonds,413,92,16,72,48
Ken_Oberkfell,503,136,5,62,48
Ozzie_Virgil,359,80,15,45,48
Pat_Tabler,473,154,6,61,48
Willie_McGee,497,127,7,65,48
Dave_Henderson,388,103,15,59,47
Eddie_Milner,424,110,15,70,47
Ernest_Riles,524,132,9,69,47
George_Hendrick,283,77,14,45,47
Lee_Lacy,491,141,11,77,47
Ozzie_Guillen,547,137,2,58,47
Robby_Thompson,549,149,7,73,47
Damaso_Garcia,424,119,6,57,46
Don_Slaught,314,83,13,39,46
Gary_Matthews,370,96,21,49,46
